empl_id,start_date,rank,sl,day
21230,1972-08-03 00:00:00,nan,SL: Legacy,"16,480.0,8,576.0,16,528.0,16,528.0,1,528.0,16,480.0,16,528.0,1,576.0,16,528.0,16,432.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,528.0,16,480.0,16,480.0,16,576.0,16,528.0,16,576.0,16,480.0,16,480.0,16,528.0,16,576.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,480.0,16,48.0,"
21575,1987-11-02 00:00:00,nan,SL: Legacy,"1,351.0,9,66.0,10,63.0,1,519.0,9,21.0,10,36.0,1,246.0,9,252.0,10,30.0,1,285.0,9,213.0,10,30.0,1,390.0,9,132.0,10,6.0,1,330.0,9,150.0,1,297.0,9,231.0,1,552.0,9,6.0,10,18.0,1,512.0,10,16.0,16,432.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,528.0,16,480.0,16,480.0,16,576.0,16,528.0,16,576.0,16,480.0,16,480.0,16,528.0,16,576.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,480.0,16,48.0,"
21790,1987-01-02 00:00:00,5,MA: Mgmt Advisory Svcs,"1,17.77777777777778,5,320.0,9,136.29629629629628,13,5.925925925925926,1,39.0,5,291.0,9,234.0,12,12.0,1,12.0,5,144.0,9,366.0,12,6.0,1,6.0,5,222.0,9,282.0,12,18.0,1,211.76470588235293,5,180.70588235294116,9,104.47058823529413,13,31.058823529411764,1,36.0,5,216.0,9,216.0,12,12.0,1,77.12359550561797,5,195.77528089887642,9,237.30337078651684,12,11.865168539325843,13,5.932584269662922,1,218.88,5,190.08,9,144.0,13,23.04,9,528.0,1,78.0,5,114.0,9,233.99999999999997,12,6.0,1,101.53846153846155,5,232.0879120879121,9,165.36263736263737,12,11.604395604395606,13,17.40659340659341,1,144.26229508196724,5,184.65573770491804,9,178.88524590163934,13,20.19672131147541,1,148.57142857142858,5,131.42857142857144,9,177.14285714285717,13,22.857142857142854,1,119.2258064516129,5,176.0,9,204.38709677419354,13,28.387096774193548,1,18.0,5,24.0,9,486.0,1,222.0,5,261.0,9,93.0,1,150.0,5,270.0,9,108.0,1,126.0,5,228.0,9,126.0,1,66.0,5,192.0,9,222.0,1,156.0,5,315.0,9,105.0,1,93.0,5,351.0,9,78.0,12,6.0,1,72.0,5,447.0,9,57.0,1,90.0,5,156.0,9,234.0,1,204.0,5,249.00000000000003,9,27.0,1,228.0,5,174.0,9,126.0,1,312.0,5,214.5,9,49.5,1,276.0,5,123.0,9,129.0,1,269.8666666666667,5,123.2,9,123.2,13,11.733333333333334,1,165.0,5,270.0,9,45.0,1,27.0,5,279.0,9,222.0,1,24.0,5,429.0,9,75.0,1,52.89795918367347,5,405.55102040816325,9,105.79591836734694,13,11.755102040816325,1,47.47252747252747,5,313.84615384615387,9,102.85714285714285,13,15.824175824175825,9,48.0,"
21800,2015-10-19 00:00:00,4,LM: Logistics,"16,480.0,2,576.0,16,528.0,2,446.7692307692308,9,81.23076923076924,16,528.0,16,480.0,16,528.0,16,576.0,16,528.0,2,432.0,16,528.0,2,330.0,5,198.0,16,480.0,16,528.0,2,528.0,2,576.0,2,528.0,16,480.0,16,480.0,16,576.0,2,528.0,16,576.0,2,480.0,16,480.0,16,528.0,16,576.0,2,528.0,4,528.0,9,480.0,2,528.0,16,528.0,16,576.0,16,480.0,16,48.0,"
22511,1989-03-13 00:00:00,5,LM: Logistics,"1,54.92537313432836,9,327.1641791044776,13,97.91044776119402,1,68.97087378640776,5,1.8640776699029127,9,291.7281553398058,13,213.43689320388347,1,42.166666666666664,5,1.8333333333333333,9,284.16666666666663,10,1.8333333333333333,13,198.0,1,93.84154175588866,9,304.1370449678801,13,130.02141327623127,1,235.25806451612902,9,153.29032258064518,13,139.4516129032258,1,95.0253807106599,5,12.182741116751268,9,282.6395939086294,13,90.15228426395939,1,18.0,9,510.0,1,162.0,9,414.0,1,528.0,1,432.0,1,506.0,9,22.0,1,528.0,1,480.0,1,528.0,1,528.0,1,576.0,1,528.0,1,480.0,1,245.66929133858267,9,234.33070866141733,1,565.7142857142857,9,10.285714285714285,1,496.0,9,32.0,1,481.9591836734694,9,76.40816326530613,13,17.632653061224488,1,124.80000000000001,9,288.0,13,67.2,1,264.2696629213483,9,215.73033707865167,1,422.40000000000003,9,105.60000000000001,1,345.59999999999997,9,213.94285714285715,13,16.457142857142856,1,345.7142857142857,9,169.71428571428572,13,12.571428571428571,1,168.3478260869565,9,359.6521739130435,1,457.4117647058823,9,22.588235294117645,1,467.4649681528663,9,60.53503184713376,1,202.82926829268294,9,325.1707317073171,1,173.30973451327435,9,402.69026548672565,1,402.3529411764706,9,77.64705882352942,16,48.0,"
22512,1989-03-20 00:00:00,7,AA: Advanced Analytics,"1,21.0,2,214.5,9,244.5,1,35.81347150259067,2,507.35751295336786,4,2.9844559585492227,9,26.860103626943005,13,2.9844559585492227,1,13.273743016759777,2,410.0111731843576,9,95.8659217877095,13,8.849162011173185,1,16.314606741573034,2,342.6067415730337,9,163.14606741573033,13,5.932584269662922,1,46.93333333333334,2,349.06666666666666,9,120.26666666666667,13,11.733333333333334,1,56.64596273291926,2,268.3229813664596,9,152.04968944099377,13,2.981366459627329,1,29.333333333333332,2,290.40000000000003,5,17.6,9,178.93333333333334,13,11.733333333333334,1,38.4,2,446.03076923076924,5,47.261538461538464,9,35.44615384615385,13,8.861538461538462,1,39.47663551401869,2,244.26168224299064,5,7.401869158878505,9,143.10280373831773,13,93.75700934579439,1,64.8,2,179.55,5,5.4,9,139.05,13,43.2,1,66.49874055415617,2,279.2947103274559,9,122.35768261964736,13,59.84886649874055,1,14.27027027027027,2,205.4918918918919,9,282.55135135135134,13,25.686486486486487,1,1.437125748502994,2,432.57485029940125,9,25.868263473053894,13,20.119760479041915,1,33.62264150943396,2,257.77358490566036,5,21.169811320754715,9,125.77358490566039,13,89.66037735849056,1,25.631067961165048,2,181.98058252427185,5,15.37864077669903,9,228.1165048543689,13,76.89320388349515,1,175.96181384248212,2,177.3365155131265,9,174.58711217183773,13,48.114558472553696,1,80.04255319148936,2,115.14893617021278,5,11.23404255319149,9,287.87234042553195,13,33.702127659574465,1,17.879656160458453,2,83.89684813753583,5,11.002865329512893,9,327.3352435530086,13,39.88538681948424,1,24.91803278688525,2,110.16393442622952,5,34.0983606557377,9,250.49180327868854,13,60.32786885245902,1,13.120728929384967,2,362.13211845102506,5,7.87243735763098,9,120.7107061503417,13,72.16400911161732,1,18.158730158730158,2,169.015873015873,9,304.5079365079365,13,36.317460317460316,1,13.447470817120623,2,112.06225680933852,9,304.8093385214008,13,145.68093385214007,1,7.912087912087912,2,58.02197802197802,5,221.53846153846155,9,134.5054945054945,13,58.02197802197802,1,7.659574468085106,2,91.91489361702128,5,224.68085106382978,9,84.25531914893617,13,71.48936170212765,1,25.010526315789473,2,134.77894736842106,5,220.9263157894737,9,108.37894736842105,13,38.90526315789473,1,20.160000000000004,2,46.08,5,335.52,9,151.20000000000002,13,23.04,1,8.8,2,26.400000000000002,5,220.0,9,261.06666666666666,13,11.733333333333334,1,11.700831024930748,2,130.17174515235456,5,219.3905817174515,9,153.57340720221606,13,13.163434903047092,1,6.0,2,54.0,5,241.50000000000003,9,178.5,1,5.708108108108108,2,28.54054054054054,5,256.8648648648649,9,211.20000000000002,13,25.686486486486487,1,23.872340425531917,2,81.44680851063829,5,189.5744680851064,9,210.63829787234042,13,22.46808510638298,1,24.627078384798097,2,45.149643705463184,5,169.65320665083135,9,285.9477434679335,13,50.62232779097387,1,21.62162162162162,2,41.8018018018018,5,132.61261261261262,9,268.10810810810807,13,15.855855855855856,16,48.0,"
22513,1989-04-26 00:00:00,4,MA: Mgmt Advisory Svcs,"0,480.0,0,573.0,9,3.0,0,528.0,0,528.0,0,516.5217391304348,9,11.478260869565217,0,480.0,0,528.0,0,576.0,0,528.0,0,432.0,0,528.0,0,528.0,0,480.0,0,528.0,0,528.0,0,576.0,0,528.0,0,480.0,0,480.0,0,576.0,0,528.0,0,576.0,0,480.0,0,480.0,0,528.0,0,576.0,0,528.0,0,528.0,0,480.0,0,528.0,0,515.238670694864,9,12.761329305135952,0,576.0,0,480.0,16,48.0,"
22516,1989-05-08 00:00:00,5,MA: Mgmt Advisory Svcs,"5,176.0,8,240.0,9,64.0,5,304.0,8,224.0,9,48.0,5,200.0,8,224.0,9,104.0,5,40.0,8,256.0,9,232.0,5,368.0,8,32.0,9,128.0,5,184.0,8,108.0,9,188.0,5,168.0,8,248.0,9,112.0,5,144.0,8,424.0,9,8.0,5,192.0,8,176.0,9,160.0,5,184.0,8,128.0,9,120.0,5,152.0,8,184.0,9,192.0,5,232.0,8,112.0,9,184.0,5,256.0,8,144.0,9,80.0,5,272.0,8,80.0,9,176.0,5,92.0,8,172.0,9,264.0,5,172.0,8,80.0,9,324.0,5,316.8,8,211.20000000000002,5,300.0,8,180.0,5,221.53846153846155,8,258.46153846153845,5,132.0,8,444.0,8,528.0,8,576.0,8,480.0,8,480.0,8,528.0,8,576.0,16,528.0,16,528.0,8,480.0,8,528.0,8,528.0,8,576.0,8,480.0,16,48.0,"
22533,2015-10-13 00:00:00,5,LM: Logistics,"4,480.0,4,561.9512195121952,9,14.048780487804878,4,528.0,4,528.0,4,517.0,9,11.0,4,480.0,4,528.0,4,576.0,4,528.0,4,432.0,4,528.0,4,528.0,9,480.0,4,81.23076923076924,9,446.7692307692308,4,72.0,9,456.0,4,29.79310344827586,9,546.2068965517242,4,217.41176470588235,9,310.5882352941177,4,480.0,4,470.9433962264151,9,9.056603773584905,4,576.0,4,528.0,1,518.4,4,57.6,4,480.0,4,480.0,4,528.0,4,311.35135135135135,5,264.64864864864865,5,485.76000000000005,9,42.24,4,293.33333333333337,5,234.66666666666666,4,53.33333333333333,5,426.66666666666663,4,452.57142857142856,5,75.42857142857143,4,356.40000000000003,5,171.6,4,576.0,4,336.0,5,144.0,16,48.0,"
22541,2017-10-23 00:00:00,nan,LM: Logistics,"14,480.0,4,576.0,4,528.0,4,528.0,16,528.0,16,480.0,16,528.0,16,576.0,16,528.0,16,432.0,16,528.0,15,528.0,15,480.0,15,528.0,15,528.0,15,576.0,15,528.0,15,480.0,15,480.0,15,576.0,15,528.0,15,576.0,15,480.0,15,480.0,15,528.0,15,576.0,15,528.0,15,528.0,15,480.0,15,528.0,15,528.0,15,576.0,15,480.0,15,48.0,"
