day,sl
"14,73,8,269,14,171,8,171,14,70,9,12,8,260,14,155,8,175,10,8,9,4,14,12,8,225,10,66,9,39,14,124,8,133,9,86,14,47,8,264,9,31,14,93,8,217,9,31,14,159,8,171,13,4,9,8,14,97,8,245,14,70,8,239,13,26,9,8,14,43,13,29,8,217,9,54,14,57,8,278,9,8,14,48,8,275,10,15,9,5,14,31,8,208,10,20,9,84,14,31,9,10,8,272,13,22,9,8,14,35,8,273,9,35,14,35,13,26,8,282,14,31,9,14,8,270,13,28,14,29,9,8,8,288,13,16,9,2,14,18,13,12,9,4,8,309,14,21,9,9,8,297,13,11,15,7,14,16,8,326,14,11,13,20,9,8,8,293,9,11,13,30,8,305,15,7,9,57,8,260,13,22,9,4,8,309,9,32,8,283,9,59,8,299,10,11,9,32,8,307,10,8,9,28,8,679,9,4,8,295,13,26,15,5,9,18",3
"14,11,7,331,14,4,7,338,13,2,7,336,9,4,13,39,15,120,9,184,13,63,7,216,15,39,9,25,13,6,7,320,9,16,7,1356,9,9,7,5437,9,19,7,337,9,5,7,337,9,5,7,1357,9,8,7,313,9,29",3
"9,682,16,10229",2
"14,33,1,309,14,97,1,244,14,78,1,264,14,70,1,272,14,134,1,208,14,313,1,29,14,121,1,221,14,20,1,322,14,40,1,302,14,40,1,302,14,4,1,338,14,303,1,39,14,33,1,309,14,70,1,272,14,7,1,335,14,7,1,335,14,37,1,305,14,54,1,286,9,2,1,2724,9,4,1,339,9,2,1,1350,9,15,1,682",2
"14,18,10,307,9,18,14,9,10,333,14,8,10,334,14,3,9,10,10,330,14,22,9,2,10,317,9,2,14,36,10,306,14,24,10,318,14,5,10,337,9,0,10,341,9,7,10,335,8,22,10,992,9,11,10,1019,9,5,10,1558,9,148,10,64,9,278,10,3751",2
"12,1969,9,77,12,7812,9,31,12,341,9,0,12,682",1
"14,73,1,269,14,6,1,336,14,83,1,259,14,31,1,310,14,74,1,268,14,124,1,217,14,124,1,217,14,78,1,264,14,8,1,334,14,171,1,171,14,75,1,267,14,128,1,214,14,62,1,279,14,51,1,291,14,43,1,299,14,35,1,307,14,35,1,307,14,37,1,305,14,29,1,313,14,81,1,260,14,23,1,319,14,33,1,309,14,52,1,290,14,8,1,334,14,18,1,3052",1
"9,682,16,10229",3
"14,35,5,307,14,124,5,217,14,16,5,326,14,124,5,217,14,69,5,273,14,47,5,291,9,4,14,70,5,272,14,29,5,313,14,47,5,295,14,120,5,222,14,35,5,307,14,29,5,313,14,38,5,304,14,62,5,252,9,28,14,31,5,310,14,35,5,307,14,31,5,310,14,35,5,307,14,31,5,310,14,31,5,310,14,29,5,302,15,11,5,1705,9,0,5,665,9,18,5,329,15,13,5,1364",2
"14,155,0,186,14,171,0,171,14,55,0,279,15,8,14,260,15,82,14,35,0,239,15,69,14,16,0,325,14,55,0,286,14,15,0,327,14,78,0,264,14,199,0,143,14,69,0,273,14,29,0,313,14,38,0,304,14,93,0,248,14,29,0,299,9,15,14,97,9,2,15,243,14,35,0,218,8,32,15,13,9,45,14,8,0,334,14,35,0,307,14,31,0,310,14,139,15,203,14,69,7,73,15,201,14,47,0,295,14,28,0,314,14,2,0,333,9,8,14,51,0,287,15,4,14,4,0,338,9,9,0,653,9,21,0,1364",1
"14,70,7,272,14,72,7,242,9,29,14,62,7,279,14,35,7,307,14,62,7,140,9,62,8,78,14,209,7,90,8,43,14,206,7,20,9,31,8,86,14,69,7,77,8,197,14,62,7,93,9,8,8,163,15,4,9,12,14,144,7,136,13,12,9,51,14,86,9,43,7,214,14,35,7,229,0,55,9,8,13,10,9,6,14,54,7,86,0,111,13,11,9,82,14,35,7,273,9,35,14,47,7,214,9,82,14,55,9,152,7,59,13,51,9,28,14,35,7,278,9,30,14,31,9,16,7,214,0,62,9,20,14,35,9,13,7,282,0,13,14,70,7,194,0,24,13,20,9,35,14,64,9,54,7,68,13,11,15,114,9,32,14,60,7,282,14,28,7,136,8,179,14,35,7,93,8,171,9,43,14,8,7,43,8,291,14,77,9,13,7,171,0,77,9,133,7,77,0,20,15,84,9,35,7,160,0,84,13,39,9,60,7,249,9,2,8,25,9,66,7,50,8,206,9,86,7,622,9,61,7,322,9,20",1
"1,0,13,114,8,171,9,57,1,0,13,13,9,7,8,287,9,37,1,0,8,161,9,181,1,0,9,69,8,273,13,49,8,244,9,49,13,27,8,315,9,37,8,220,13,86,8,981,9,43,8,147,9,195,8,171,9,171,8,1543,9,163,8,3017,13,53,8,307,13,35,8,171,13,171,8,244,13,98,8,607,13,76,8,293,13,49,16,341",2
"14,171,1,171,14,119,1,222,14,31,1,310,14,16,1,326,14,36,1,306,14,78,1,264,14,171,1,171,14,62,1,279,14,62,1,279,14,39,1,303,14,22,1,320,14,43,1,299,14,11,1,331,14,38,1,304,14,31,1,310,14,31,1,310,14,35,1,307,14,35,1,307,14,62,1,279,14,29,1,313,14,6,1,336,14,7,1,2373,15,8,1,1705",3
"14,171,7,171,14,35,7,307,14,40,7,302,14,31,7,310,14,18,7,324,14,28,7,314,14,95,7,247,14,205,7,135,15,3,14,8,7,314,9,16,15,4,14,128,7,214,14,47,15,278,9,18,14,141,15,201,14,132,7,109,15,102,14,78,7,264,14,39,7,303,14,52,7,290,14,43,15,299,14,31,7,310,14,8,7,672,9,4,7,679,15,4,7,1023,15,682,16,1705",3
"7,599,6,84,7,114,8,81,6,148,7,113,9,16,6,213,7,101,6,241,7,138,9,11,6,193,7,11,6,331,7,116,6,226,7,232,6,76,15,35,7,407,12,266,8,10,7,48,12,167,8,127,7,35,3,15,12,292,7,53,3,94,12,169,8,28,7,147,12,195,7,8,3,27,12,308,7,53,3,148,12,135,9,8,7,66,3,150,12,114,9,13,7,205,3,117,12,20,7,124,3,156,12,63,7,192,3,58,12,93,7,663,9,20,3,100,12,236,8,6,9,0,3,75,12,267,3,17,12,304,9,17,8,5,3,27,12,653,8,4,12,680,8,3,12,341,9,0,12,675,9,8",3
"14,75,5,254,9,13,14,39,5,303,14,155,5,186,14,86,5,256,14,62,5,279,14,90,5,252,14,54,5,288,14,97,5,245,14,49,5,293,14,26,5,316,14,80,5,262,14,90,5,252,14,154,5,188,14,31,5,310,14,155,5,181,9,6,14,66,5,186,6,24,9,66,14,93,5,248,14,146,13,4,5,192,9,0,14,186,5,155,9,0,14,114,5,228,14,138,5,204,14,35,5,278,9,30,14,35,13,11,5,297,14,140,5,190,9,12,14,68,5,274,14,139,5,203,14,73,5,269,14,35,13,28,5,280,14,35,13,105,5,202,14,18,5,324,9,9,5,286,9,47,5,682",2
"12,6117,9,21,12,5115",2
"14,103,5,239,14,376,5,307,14,22,5,316,9,5,14,28,5,314,14,70,5,272,14,246,5,96,14,16,5,326,14,62,5,279,14,62,5,279,14,11,5,331,14,155,5,186,14,62,5,279,14,62,5,279,14,29,5,313,14,28,5,314,14,69,5,273,14,228,5,114,14,57,5,285,14,31,5,310,14,35,5,307,14,31,5,310,14,121,5,221,14,8,5,334,14,34,5,308,14,12,5,330,14,8,5,2367,9,13",2
"14,31,15,310,14,31,8,310,14,171,8,171,14,62,8,279,14,93,7,55,9,10,15,185,14,228,15,77,9,38,14,35,15,273,9,35,14,36,8,306,14,38,8,304,14,93,8,248,14,35,8,307,14,31,8,310,14,124,8,217,14,29,8,313,14,35,8,307,14,62,7,155,15,124,14,64,7,127,15,151,14,31,0,155,15,155,14,31,0,310,14,84,8,258,14,137,8,205,14,31,8,310,14,31,8,310,14,86,8,256,14,35,8,307,9,30,15,245,9,67,7,18,0,57,9,14,15,254,5,171,15,103,9,69,8,1364,15,341",1
"14,782,9,124,15,109,9,10,14,86,12,41,9,216,14,74,13,16,7,16,12,55,9,183,14,93,13,28,12,82,9,140,14,256,8,16,15,70,14,66,13,35,12,105,9,136,14,35,13,18,12,139,8,7,9,145,14,711,13,29,12,123,8,11,9,151,15,341,16,6478",4
"14,49,3,292,14,55,3,287,14,69,3,273,14,76,3,266,14,102,3,240,14,124,3,217,14,248,3,93,14,205,3,137,14,84,3,258,14,237,3,105,14,69,3,273,14,35,3,307,14,31,3,310,14,31,3,310,14,155,3,186,14,31,3,155,9,155,14,29,3,313,14,76,3,266,14,31,3,310,14,31,3,310,14,35,3,307,14,93,3,249,14,16,3,2698,9,15,3,1023",2
"14,166,3,176,14,136,3,206,14,35,3,303,15,5,14,92,3,250,14,139,3,203,14,35,3,307,14,38,3,304,14,62,3,279,14,35,3,307,14,33,3,303,9,2,15,4,14,31,3,310,14,61,3,281,14,35,3,307,14,59,3,283,14,35,3,307,14,31,3,308,9,3,14,29,3,313,14,11,3,331,14,9,3,333,14,160,3,182,14,22,3,315,9,6,3,2383,9,2,15,3,3,339,9,3,3,1016,15,8,3,341",2
"14,133,2,209,14,32,2,309,14,48,2,294,14,82,2,260,14,171,2,171,14,92,9,4,2,246,14,31,2,310,14,31,2,310,14,190,2,152,14,31,2,310,14,31,2,310,14,75,2,267,14,61,2,281,14,171,9,10,2,161,14,256,2,86,14,93,2,248,14,16,2,326,14,39,2,303,14,11,2,331,14,31,2,310,14,33,9,4,2,305,14,8,9,6,2,329,14,103,2,239,9,9,2,320,9,15,2,340,9,5,2,320,15,18,2,2387",2
"14,121,9,4,5,217,14,155,5,186,14,93,5,248,14,69,5,273,14,15,13,86,5,242,14,57,5,285,14,86,5,256,14,35,5,307,14,43,5,299,14,38,5,304,14,31,5,301,9,10,14,62,5,279,14,31,5,310,14,35,5,307,14,31,5,310,14,31,5,310,14,35,5,307,14,51,5,283,9,8,14,31,5,310,14,43,5,299,14,35,5,307,14,31,5,310,14,16,5,326,14,35,5,2943,9,93,5,341",2
"11,90,12,243,9,9,11,205,12,137,11,126,12,162,9,54,11,86,12,256,11,116,12,226,11,114,12,228,11,167,12,175,11,112,12,230,11,50,12,116,9,176,11,42,12,300,11,97,12,230,9,15,11,117,12,216,9,0,15,9,11,76,12,247,9,0,15,19,11,63,12,279,11,126,12,216,11,86,12,256,11,42,12,300,11,60,12,282,11,121,12,221,11,93,12,249,11,86,12,245,9,12,11,67,12,275,11,53,12,252,15,37,11,103,12,239,11,69,12,273,11,27,12,315,11,31,12,220,9,76,15,16,11,41,12,301,11,53,12,289,11,119,12,223,11,88,12,254,11,30,12,653",2
"14,103,8,239,14,126,8,216,14,93,8,248,14,171,8,171,14,135,8,207,14,124,8,217,14,186,8,155,14,62,8,279,14,143,8,199,9,0,14,69,8,273,14,32,8,309,14,41,8,301,14,62,8,279,14,35,8,307,14,35,8,307,14,37,8,305,14,57,8,285,14,8,9,6,8,328,14,11,9,2,8,329,14,3,8,339,9,8,8,4426",3
