empl_id,start_date,glc,l2_org
24655,2013-05-20 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24663,2013-05-28 00:00:00,L4 Employees,DS: Digital Services
24666,2015-09-01 00:00:00,L4 Employees,LM: Logistics
24670,2016-10-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24676,2013-07-15 00:00:00,Not Applicable,SL: Legacy
24677,2013-06-24 00:00:00,Not Applicable,SL: Legacy
24678,2014-10-16 00:00:00,L4 Employees,AA: Advanced Analytics
24679,2013-06-24 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24680,2013-06-24 00:00:00,Not Applicable,SL: Legacy
24681,2013-07-01 00:00:00,L4 Employees,LM: Logistics
24688,2017-04-03 00:00:00,L4 Employees,LM: Logistics
24694,2013-08-05 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24697,2013-08-12 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24698,2013-08-12 00:00:00,L4 Employees,AA: Advanced Analytics
24700,2013-08-19 00:00:00,Not Applicable,SL: Legacy
24701,2013-08-19 00:00:00,L4 Employees,DS: Digital Services
24703,2015-07-16 00:00:00,L4 Employees,AA: Advanced Analytics
24708,2013-09-03 00:00:00,L4 Employees,LM: Logistics
24713,2013-09-03 00:00:00,Not Applicable,SL: Legacy
24716,2017-01-01 00:00:00,L4 Employees,LM: Logistics
24719,2013-09-23 00:00:00,L4 Employees,DS: Digital Services
24720,2017-04-01 00:00:00,L4 Employees,LM: Logistics
24724,2013-10-07 00:00:00,L4 Employees,LM: Logistics
24725,2013-10-15 00:00:00,L4 Employees,LM: Logistics
24726,2013-10-15 00:00:00,L4 Employees,LM: Logistics
24729,2013-10-28 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24731,2013-10-28 00:00:00,L4 Employees,LM: Logistics
24735,2017-04-03 00:00:00,Not Applicable,SL: Legacy
24736,2013-11-12 00:00:00,Not Applicable,SL: Legacy
24737,2013-11-12 00:00:00,L4 Employees,AA: Advanced Analytics
24738,2013-11-12 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24740,2013-11-12 00:00:00,Not Applicable,SL: Legacy
24741,2018-06-11 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24742,2013-11-12 00:00:00,L4 Employees,AA: Advanced Analytics
24743,2013-11-18 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24755,2014-01-06 00:00:00,Not Applicable,SL: Legacy
24756,2014-01-06 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
